Date,steps
9/1/18,2736
9/2/18,8901
9/3/18,334
9/4/18,4182
9/5/18,9232
9/6/18,9122
9/7/18,5912
9/8/18,1170
9/9/18,1108
9/10/18,7041
9/11/18,7770
9/12/18,6897
9/13/18,4543
9/14/18,8735
9/15/18,7419
9/16/18,1011
9/17/18,8411
9/18/18,7258
9/19/18,6720
9/20/18,4526
9/21/18,5877
9/22/18,3365
9/23/18,567
9/24/18,5430
9/25/18,7415
9/26/18,6575
9/27/18,8037
9/28/18,2157
9/29/18,4600
9/30/18,306
10/1/18,10791
10/2/18,8211
10/3/18,7320
10/4/18,7773
10/5/18,6661
10/6/18,534
10/7/18,2149
10/8/18,5850
10/9/18,5650
10/10/18,8207
10/11/18,6543
10/12/18,4192
10/13/18,9209
10/14/18,3974
10/15/18,6307
10/16/18,8139
10/17/18,3712
10/18/18,6197
10/19/18,3333
10/20/18,618
10/21/18,6614
10/22/18,5740
23-Oct,8470
24-Oct,6735
25-Oct,7185
26-Oct,8196
27-Oct,7813
28-Oct,4404
29-Oct,7608
30-Oct,7604
31-Oct,6967
1-Nov,7597
2-Nov,5896
3-Nov,1473
4-Nov,2151
5-Nov,6857
6-Nov,8376
7-Nov,6802
8-Nov,7629
9-Nov,13042
10-Nov,1347
11-Nov,4931
12-Nov,7306
13-Nov,5676
14-Nov,7258
15-Nov,6286
16-Nov,6889
17-Nov,14704
18-Nov,3566
19-Nov,8990